"transect","year","rdm_mean","rdm_sd","rdm_n"
"AD10",1997,1770,1702.05757834452,5
"AD10",1998,2820,2564.32252261684,5
"AD10",1999,1200,708.872343937891,5
"AD10",2000,1490,1112.25496677296,10
"AD10",2001,1090,862.103370960944,10
"AD10",2002,1305,764.653153033743,10
"AD10",2003,530,364.539283053128,10
"AD10",2004,750,354.338193757822,10
"AD10",2005,1900,1303.84048104053,10
"AD10",2014,1500,431.566912540802,9
"AD11",1997,4460,3778.45868046747,5
"AD11",1998,2610,1146.40743193683,5
"AD11",1999,4470,3213.17599891447,5
"AD11",2000,2565,1481.00003751219,10
"AD11",2001,2560,940.685329368375,10
"AD11",2002,1530,545.791983166562,10
"AD11",2003,475,322.533374672727,10
"AD11",2004,1160,627.517153373338,10
"AD11",2005,1190,696.738433305099,10
"AD11",2014,455,181.735460980453,10
"AD12",1997,2750,2070.62792408487,5
"AD12",1998,2170,975.06410045699,5
"AD12",1999,2630,2090.33490139738,5
"AD12",2000,1980,978.434123144391,10
"AD12",2001,1890,1142.56047736846,10
"AD12",2002,1560,1080.32916794425,10
"AD12",2003,965,599.096542025296,10
"AD12",2004,980,446.716415140025,10
"AD12",2005,2910,1563.25870468639,10
"AD12",2014,1150,588.31208649076,10
"AL1",1997,890,1079.00417052021,5
"AL1",1998,1030,669.51474965082,5
"AL1",1999,NA,NA,0
"AL1",2000,645,242.039941607441,10
"AL1",2001,810,307.137319994385,10
"AL1",2002,1230,649.871782225797,10
"AL1",2003,770,205.750658160146,10
"AL1",2004,910,741.544933829966,10
"AL1",2005,1815,998.345854122931,10
"AL1",2014,395,283.284309484306,10
"BK5",1997,650,647.108955277239,5
"BK5",1998,1150,310.241841149771,5
"BK5",1999,NA,NA,0
"BK5",2000,NA,NA,0
"BK5",2001,1105,337.844474409289,10
"BK5",2002,615,779.975070826697,10
"BK5",2003,795,853.245438181639,10
"BK5",2004,830,781.807023646003,10
"BK5",2005,1380,625.033332444492,10
"BK5",2014,255,200.624026477389,10
"BL7",1997,1580,1364.09310532676,5
"BL7",1998,3590,4301.0754469086,5
"BL7",1999,1590,831.715095450359,5
"BL7",2000,1955,907.820956405441,10
"BL7",2001,1640,902.09632400192,10
"BL7",2002,1485,505.002750267538,10
"BL7",2003,830,316.403399335581,10
"BL7",2004,825,355.316760088797,10
"BL7",2005,3155,2474.58750771383,10
"BL7",2014,990,1227.1919165314,10
"ML9",1997,4550,6274.35255624036,5
"ML9",1998,2100,1658.68924153984,5
"ML9",1999,3090,1887.92213822499,5
"ML9",2000,1195,572.251887041207,10
"ML9",2001,2425,1613.01133150253,10
"ML9",2002,1075,700.49585612225,10
"ML9",2003,800,249.443825784929,10
"ML9",2004,1270,705.612421155473,10
"ML9",2005,890,366.515120197426,10
"ML9",2014,800,461.880215351701,10
"NF6",1997,1350,1031.98837202751,5
"NF6",1998,1720,939.813811347758,5
"NF6",1999,2250,1194.78031453485,5
"NF6",2000,1080,1019.8583779678,10
"NF6",2001,1600,394.405318873308,10
"NF6",2002,610,756.380268853644,10
"NF6",2003,830,188.856206322871,10
"NF6",2004,935,354.377388292952,10
"NF6",2005,NA,NA,0
"NF6",2014,885,437.194337667917,10
"NV8",1997,430,299.165506033032,5
"NV8",1998,2480,2406.91711531577,5
"NV8",1999,1910,2032.36315652494,5
"NV8",2000,1237,934.000356887869,10
"NV8",2001,960,880.90862182181,10
"NV8",2002,1295,970.810085558562,10
"NV8",2003,710,288.482620312251,10
"NV8",2004,830,612.916525039639,10
"NV8",2005,2050,1253.6613046061,10
"NV8",2014,1100,822.259758902934,10
"PK2",1997,730,450.832563153994,5
"PK2",1998,1570,1032.95692068934,5
"PK2",1999,960,330.529877620768,5
"PK2",2000,830,452.891941980768,10
"PK2",2001,1670,722.726319801163,10
"PK2",2002,1070,516.505351160835,10
"PK2",2003,NA,NA,0
"PK2",2004,815,258.252675580418,10
"PK2",2005,1565,784.23706733218,10
"PK2",2014,440,161.245154965971,10
"PL3",1997,480,439.602092806665,5
"PL3",1998,500,327.8719262151,5
"PL3",1999,1450,2297.28100153203,5
"PL3",2000,367,101.110500608658,10
"PL3",2001,1325,178.341121325272,10
"PL3",2002,425,185.965946703512,10
"PL3",2003,560,263.312235441753,10
"PL3",2004,700,362.859017617954,10
"PL3",2005,1165,518.571756526198,10
"PL3",2014,410,139.044357430761,10
"PL4",1997,1020,1704.2593699317,5
"PL4",1998,910,320.936130717624,5
"PL4",1999,690,470.903387118844,5
"PL4",2000,600,339.934634239519,10
"PL4",2001,1185,194.436507774532,10
"PL4",2002,470,147.572957474524,10
"PL4",2003,740,227.058484879019,10
"PL4",2004,640,368.781778291716,10
"PL4",2005,810,213.177026070926,10
"PL4",2014,635,328.337563424527,10
