"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.218840124885812,0.174752960059038,71,-1.25228279287446,0.960674888947102
"1997 - 1999",-0.0718568396477712,0.151340502797654,71,-0.474802437678204,0.999977809286268
"1997 - 2000",-0.159942239749558,0.151340502797655,71,-1.05683697881858,0.987237879077649
"1997 - 2001",-0.308702437502831,0.151340502797655,71,-2.03978731269033,0.574755628175982
"1997 - 2002",-0.15556240129719,0.151340502797655,71,-1.02789668609189,0.989497417665413
"1997 - 2003",-0.0989030176427073,0.151340502797655,71,-0.653513209051133,0.999677254439806
"1997 - 2004",-0.490663036906617,0.151340502797655,71,-3.24211316756786,0.0533368861204034
"1997 - 2005",0.21702834917344,0.151340502797655,71,1.4340400960846,0.912146244349171
"1997 - 2014",0,0,71,NA,NA
"1998 - 1999",0.146983285238041,0.151340502797655,71,0.971209177457011,0.993004282147046
"1998 - 2000",0.0588978851362538,0.151340502797655,71,0.389174636316634,0.99999601128332
"1998 - 2001",-0.0898623126170187,0.151340502797655,71,-0.593775697555112,0.999853530646003
"1998 - 2002",0.063277723588622,0.151340502797655,71,0.418114929043321,0.99999256861774
"1998 - 2003",0.119937107243105,0.151340502797655,71,0.79249840608408,0.998491553027178
"1998 - 2004",-0.271822912020805,0.151340502797655,71,-1.79610155243265,0.735338464887727
"1998 - 2005",0.435868474059252,0.151340502797655,71,2.88005171121981,0.13076428967673
"1998 - 2014",0.218840124885812,0.174752960059038,71,1.25228279287446,0.960674888947102
"1999 - 2000",-0.0880854001017869,0.123569003090168,71,-0.712843819234434,0.999347728413691
"1999 - 2001",-0.236845597855059,0.123569003090168,71,-1.9167071994765,0.657937130297855
"1999 - 2002",-0.0837055616494187,0.123569003090168,71,-0.677399344140852,0.999567712666873
"1999 - 2003",-0.027046177994936,0.123569003090168,71,-0.218875100701432,0.999999975085373
"1999 - 2004",-0.418806197258846,0.123569003090168,71,-3.38924962397927,0.0357233444882001
"1999 - 2005",0.288885188821211,0.123569003090168,71,2.33784510352012,0.378554239080513
"1999 - 2014",0.0718568396477712,0.151340502797654,71,0.474802437678204,0.999977809286268
"2000 - 2001",-0.148760197753273,0.123569003090168,71,-1.20386338024207,0.969393997531011
"2000 - 2002",0.00437983845236817,0.123569003090168,71,0.0354444750935816,1
"2000 - 2003",0.0610392221068509,0.123569003090168,71,0.493968718533002,0.999968892817396
"2000 - 2004",-0.330720797157059,0.123569003090168,71,-2.67640580474484,0.203415470658496
"2000 - 2005",0.376970588922998,0.123569003090168,71,3.05068892275455,0.0871372454547854
"2000 - 2014",0.159942239749558,0.151340502797655,71,1.05683697881858,0.987237879077649
"2001 - 2002",0.153140036205641,0.123569003090168,71,1.23930785533565,0.963168852307297
"2001 - 2003",0.209799419860123,0.123569003090168,71,1.69783209877507,0.792945196175222
"2001 - 2004",-0.181960599403786,0.123569003090168,71,-1.47254242450277,0.898361322981914
"2001 - 2005",0.525730786676271,0.123569003090168,71,4.25455230299662,0.00240264640931065
"2001 - 2014",0.308702437502831,0.151340502797655,71,2.03978731269033,0.574755628175982
"2002 - 2003",0.0566593836544827,0.123569003090168,71,0.45852424343942,0.999983542513996
"2002 - 2004",-0.335100635609427,0.123569003090168,71,-2.71185027983842,0.189018758574689
"2002 - 2005",0.37259075047063,0.123569003090168,71,3.01524444766096,0.0950441449733495
"2002 - 2014",0.15556240129719,0.151340502797655,71,1.02789668609189,0.989497417665413
"2003 - 2004",-0.39176001926391,0.123569003090168,71,-3.17037452327784,0.064378629822711
"2003 - 2005",0.315931366816147,0.123569003090168,71,2.55672020422155,0.257677594241895
"2003 - 2014",0.0989030176427073,0.151340502797655,71,0.653513209051133,0.999677254439806
"2004 - 2005",0.707691386080057,0.123569003090168,71,5.72709472749939,9.81041428660401e-06
"2004 - 2014",0.490663036906617,0.151340502797655,71,3.24211316756786,0.0533368861204034
"2005 - 2014",-0.21702834917344,0.151340502797655,71,-1.4340400960846,0.912146244349171
